"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000211594",550.480415561969,-5.12190432129421,0.937213040105749,-5.46503740570691,4.62809200297455e-08,0.00129480129967219,NA,NA
"ENSG00000175267",90.3511562271774,-2.766662327357,0.523281438680159,-5.28714019426178,1.24243419429683e-07,0.00138492693687323,"VWA3A","146177"
"ENSG00000211663",370.157619532051,-6.1695257828891,1.1741634880638,-5.25440098044835,1.48507016857407e-07,0.00138492693687323,NA,NA
"ENSG00000242371",298.438402695537,-5.15595206496395,1.04055827637425,-4.95498635879337,7.2335363834573e-07,0.00464691965902675,NA,NA
"ENSG00000211668",389.926676464648,-5.50731424188153,1.11826925932273,-4.92485525822017,8.44228206744989e-07,0.00464691965902675,NA,NA
"ENSG00000211973",312.317891907369,-4.75940988281786,0.973698180927983,-4.88797244982208,1.01879783137579e-06,0.00464691965902675,NA,NA
"ENSG00000211896",31542.6394932754,-5.00137556243558,1.02868895126921,-4.86189295244673,1.16268497741671e-06,0.00464691965902675,NA,NA
"ENSG00000242472",49.2020742880961,-4.98511621676048,1.05431713222921,-4.72828911185397,2.26419630636446e-06,0.0079181775078948,NA,NA
"ENSG00000241351",662.294332913138,-4.76340212236095,1.02696056568841,-4.63834959346063,3.51202374709246e-06,0.010394722532054,NA,NA
"ENSG00000134321",349.255111353506,-2.02901267853237,0.438544630537681,-4.62669597857048,3.71545288345927e-06,0.010394722532054,"RSAD2","91543"
"ENSG00000226777",50.9576622194844,-4.64764868390834,1.01253715641128,-4.59010185895885,4.43029758691993e-06,0.0112678577808417,"FAM30A","9834"
"ENSG00000211936",91.6968579184724,-5.15695467549751,1.13909230864177,-4.52724914071849,5.9756473510202e-06,0.0118093272617063,NA,NA
"ENSG00000132465",2286.61340781036,-4.25471497900884,0.940213073259803,-4.52526677198538,6.03193692391998e-06,0.0118093272617063,"JCHAIN","3512"
"ENSG00000156738",158.71777632177,-2.67668311222392,0.592453122494903,-4.51796608135347,6.24364827276685e-06,0.0118093272617063,"MS4A1","931"
"ENSG00000211945",207.253243810066,-4.79218112020433,1.06139077161715,-4.51500168303036,6.3316262975156e-06,0.0118093272617063,NA,NA
