"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000228594",475.671237131069,1.72022287904287,0.339202868982062,5.07136889556744,3.94964316726409e-07,0.00616173975973697,"FNDC10","643988"
"ENSG00000081985",40.9130781153341,-2.03084505789698,0.40259214290076,-5.0444229816914,4.54892012826176e-07,0.00616173975973697,"IL12RB2","3595"
"ENSG00000134443",54.1522610159012,9.19031365586621,1.86136671071135,4.93740089095822,7.91706177892025e-07,0.00714937068842428,"GRP","2922"
"ENSG00000264608",130.31341575212,0.864675335769637,0.177716897448699,4.86546495118304,1.14188046126772e-06,0.00773367089405095,NA,NA
"ENSG00000076382",1510.68759799607,1.02192916595193,0.215482147030538,4.74252359202222,2.11072239205479e-06,0.0102733145286504,"SPAG5","10615"
"ENSG00000100292",1019.46167934182,-1.99800721416181,0.422653255971881,-4.72729639706062,2.27529021342522e-06,0.0102733145286504,"HMOX1","3162"
"ENSG00000272079",131.518696219491,-1.57810588983296,0.346029354104501,-4.56061276626946,5.10045627507718e-06,0.0187256791606986,NA,NA
"ENSG00000198064",7.12295629091953,4.92974984836386,1.08598486128227,4.53942778036802,5.64070956643257e-06,0.0187256791606986,"NPIPB13","613037"
"ENSG00000167964",176.94711301958,2.01427026474722,0.445759453287264,4.5187381891577,6.22092622813064e-06,0.0187256791606986,"RAB26","25837"
"ENSG00000168070",19.3711827043776,2.26812684438796,0.507995231358588,4.46485853483715,8.01216730902394e-06,0.0215665124520283,"MAJIN","283129"
"ENSG00000100253",584.965701972708,1.30789026876548,0.295490015082772,4.42617415819998,9.59190923513701e-06,0.0215665124520283,"MIOX","55586"
"ENSG00000261252",23.0811048762631,1.37339299431936,0.310303910718374,4.42596095917665,9.60138893879196e-06,0.0215665124520283,NA,NA
"ENSG00000213937",71.6613092223436,-3.00758892206652,0.683986407563354,-4.39714720761896,1.09682959201536e-05,0.0215665124520283,"CLDN9","9080"
"ENSG00000249852",28.4945874726841,-3.1785346521692,0.725186411755272,-4.38305875654198,1.17024534419324e-05,0.0215665124520283,NA,NA
"ENSG00000245573",254.617898820548,1.06211711318421,0.243294964543448,4.36555320895075,1.26801429690501e-05,0.0215665124520283,"BDNF-AS","497258"
"ENSG00000141682",61.7402969442118,-1.95080134486049,0.446962870333228,-4.36457136452093,1.27372263568142e-05,0.0215665124520283,"PMAIP1","5366"
"ENSG00000165030",2540.57688726306,-1.14399262896132,0.265287929033004,-4.31226793141801,1.61588450497834e-05,0.0248709897786267,"NFIL3","4783"
"ENSG00000230102",102.769601154396,1.23717159329212,0.287225835239202,4.30731306695234,1.65249646013539e-05,0.0248709897786267,"LINC02028","285389"
"ENSG00000149735",10.8381699123296,2.27901864009188,0.530789924477945,4.29363583405128,1.75770693146131e-05,0.0250621255159044,"GPHA2","170589"
"ENSG00000008516",210.827440328666,-1.94257881288217,0.454601872670218,-4.27314300636719,1.92736755824808e-05,0.0261071572602493,"MMP25","64386"
"ENSG00000171533",979.654794453228,0.733023460976795,0.172437076439334,4.25096200952284,2.12854274305705e-05,0.0274592149772184,"MAP6","4135"
"ENSG00000152137",3146.66085356606,-1.32434718589532,0.31478195280031,-4.20718905297426,2.58566822495927e-05,0.0309632420220112,"HSPB8","26353"
"ENSG00000267636",4.64740293674796,2.44730717758569,0.582213666633046,4.20345195903511,2.62874964566187e-05,0.0309632420220112,NA,NA
"ENSG00000173221",829.820311439488,-0.816512242955323,0.19518502571125,-4.18327297383582,2.87342024258532e-05,0.0324349282466162,"GLRX","2745"
"ENSG00000180801",175.438381400488,-1.1196652855211,0.270157111775111,-4.1444968010065,3.40560710215493e-05,0.0369045208017916,"ARSJ","79642"
"ENSG00000162105",2589.37676226365,0.813962273201698,0.197489868736068,4.12153939040541,3.76349103841783e-05,0.0392141291237605,"SHANK2","22941"
"ENSG00000237927",22.8504528577656,-2.83780616099223,0.690896993560658,-4.1074229406718,4.00098198459274e-05,0.04014466775726,NA,NA
"ENSG00000102996",8818.60988331732,1.06731876099147,0.260717207884373,4.09377950021936,4.24397931007209e-05,0.041062015531844,"MMP15","4324"
"ENSG00000186118",11.084804572063,1.70344039126514,0.417471529056131,4.08037500213842,4.49631032597355e-05,0.0420032907037757,"TEX38","374973"
"ENSG00000253954",38.7643573662074,1.35417159119789,0.332745189494135,4.06969547255245,4.70746289885928e-05,0.0425099591309989,NA,NA
"ENSG00000115255",487.474152219005,1.06661692090719,0.264225130736777,4.03677317873962,5.41914161151557e-05,0.0458039868310433,"REEP6","92840"
"ENSG00000270021",65.6406782463536,0.985787026275007,0.244367805299166,4.03402987176712,5.48283433257811e-05,0.0458039868310433,NA,NA
"ENSG00000185112",1410.46408470662,-1.1867503544039,0.295286750522126,-4.01897596930946,5.84516314646833e-05,0.0458039868310433,"FAM43A","131583"
"ENSG00000080824",67874.1959300695,-2.16507137779928,0.538845021375211,-4.01798530544775,5.86978566525559e-05,0.0458039868310433,"HSP90AA1","3320"
"ENSG00000236204",49.8324282043127,1.27630283430094,0.318372560104928,4.00883428484006,6.10192160511488e-05,0.0458039868310433,"LINC01376","400945"
"ENSG00000006282",9355.78645996668,0.524796693284962,0.13097429342292,4.0068679094941,6.15292505384832e-05,0.0458039868310433,"SPATA20","64847"
"ENSG00000180229",765.623274140889,-1.8276137086546,0.45659575648718,-4.00269534416033,6.26249226011291e-05,0.0458039868310433,"HERC2P3","283755"
"ENSG00000094804",96.7494646810337,-0.935386072465057,0.23404320885689,-3.99663838585043,6.42483296880751e-05,0.0458039868310433,"CDC6","990"
