"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000173262",40.8742774672292,-4.06403900666111,0.765154092974534,-5.31139942134031,1.08786604785421e-07,0.00285075297840195,"SLC2A14","144195"
"ENSG00000134184",144.708306643247,-5.73430008101844,1.13446608538733,-5.05462451004928,4.31238350697434e-07,0.00565030049001313,"GSTM1","2944"
"ENSG00000167767",146.153173154492,-2.43183771921558,0.504144842522642,-4.82368857935179,1.40927397841111e-06,0.012310008201421,"KRT80","144501"
"ENSG00000105967",149.021489232103,-1.26521618815272,0.293575901820272,-4.30967317245025,1.63495989692233e-05,0.0825465432818439,"TFEC","22797"
"ENSG00000130032",175.161694538752,2.63663781870115,0.61572157254537,4.28219171824919,1.85061424843636e-05,0.0825465432818439,"PRRG3","79057"
"ENSG00000272574",34.542488808879,-1.83246401491718,0.428395776477832,-4.27750252344516,1.89001816329351e-05,0.0825465432818439,NA,NA
"ENSG00000115963",889.819088047049,-1.18635699018784,0.284470761065336,-4.17040045080541,3.04064859148045e-05,0.0978066029240373,"RND3","390"
"ENSG00000125538",41.8031283025177,-2.09875055796668,0.506862060721797,-4.14067400305708,3.46286809554632e-05,0.0978066029240373,"IL1B","3553"
"ENSG00000184908",1540.52030385184,1.26605451416082,0.306153807399077,4.13535446420398,3.5440716354768e-05,0.0978066029240373,"CLCNKB","1188"
"ENSG00000242419",19.7086865734326,-1.30585237275482,0.320377042385156,-4.07598610385113,4.58197551803177e-05,0.0978066029240373,"PCDHGC4","56098"
"ENSG00000253210",41.9395976611901,-1.16260558323362,0.286413855143619,-4.05918066586075,4.92452025253184e-05,0.0978066029240373,NA,NA
"ENSG00000152137",3146.66085356606,-1.27376288844507,0.314768181077589,-4.0466697875383,5.19514463054249e-05,0.0978066029240373,"HSPB8","26353"
"ENSG00000138696",110.783785255075,-1.2134511840086,0.303248072747977,-4.0015132594662,6.29386674988253e-05,0.0978066029240373,"BMPR1B","658"
"ENSG00000026751",175.664825873862,-2.46964065978554,0.617249392853,-4.00104186149226,6.30641988703736e-05,0.0978066029240373,"SLAMF7","57823"
"ENSG00000141682",61.7402969442118,-1.7827523204763,0.446760023424291,-3.99040251366271,6.59612570421783e-05,0.0978066029240373,"PMAIP1","5366"
"ENSG00000232862",9.66046743929448,1.5674104685246,0.393470987610133,3.98354775289722,6.78940211261501e-05,0.0978066029240373,NA,NA
"ENSG00000135596",3536.39713390427,-0.70449640617233,0.177657808561415,-3.96546828916214,7.32519908865589e-05,0.0978066029240373,"MICAL1","64780"
"ENSG00000237861",5.3241460682603,1.69901159423743,0.430498861269476,3.9466111227967,7.92651419761333e-05,0.0978066029240373,NA,NA
"ENSG00000163659",2226.44771892931,-1.14755608551227,0.292312013366054,-3.92579173294261,8.64449280184689e-05,0.0978066029240373,"TIPARP","25976"
"ENSG00000121281",266.149225296785,-1.37578696296297,0.351037780671929,-3.91919912531791,8.8843692359545e-05,0.0978066029240373,"ADCY7","113"
"ENSG00000159403",17453.8057693363,-0.797575782971204,0.203557466705052,-3.91818485404352,8.92182766169578e-05,0.0978066029240373,"C1R","715"
"ENSG00000224950",63.6043804534213,-1.31943675921104,0.337036623329436,-3.91481716787007,9.0472738285256e-05,0.0978066029240373,NA,NA
"ENSG00000235527",10.9745654666185,1.47807385144879,0.378032999292319,3.9099069504931,9.23316813298776e-05,0.0978066029240373,"HIPK1-AS1","101928846"
"ENSG00000184371",4191.83000588367,-0.710549623548804,0.181792181656253,-3.90858186020546,9.28394900993074e-05,0.0978066029240373,"CSF1","1435"
"ENSG00000261280",53.5550826509704,0.961535922023819,0.246083110647551,3.90736251461388,9.33091041061222e-05,0.0978066029240373,NA,NA
"ENSG00000180229",765.623274140889,-1.77340035735702,0.456559314358236,-3.88427155374062,0.000102637144151096,0.100196770490366,"HERC2P3","283755"
"ENSG00000132274",3273.73964376245,-0.854236833033589,0.220002165960085,-3.88285646782483,0.000103236512239645,0.100196770490366,"TRIM22","10346"
"ENSG00000227256",17.5841345839568,1.08194157519638,0.282582401711249,3.82876487935699,0.000128787971033006,0.119352327495859,NA,NA
"ENSG00000270164",65.3491327741746,-1.08353091722899,0.28345812244604,-3.82254319572463,0.000132082331516119,0.119352327495859,"LINC01480","101927931"
"ENSG00000147443",231.838075479833,-1.50939024699379,0.397162110288127,-3.80043868207565,0.000144440157467881,0.123511140348282,"DOK2","9046"
"ENSG00000139278",707.920933469694,-0.811579835561465,0.213709322499731,-3.79758742421022,0.000146111251699933,0.123511140348282,"GLIPR1","11010"
"ENSG00000205642",11.437269926626,1.70160770455348,0.449714197838267,3.78375357667813,0.000154480779071126,0.126351292025536,"VCX3B","425054"
"ENSG00000237513",15.7744783003492,-2.94712901572597,0.780407974661029,-3.77639531042217,0.000159114391789455,0.126351292025536,NA,NA
"ENSG00000261252",23.0811048762631,1.13400082812969,0.303063067378467,3.74179816082157,0.000182708236057501,0.140819686055495,NA,NA
"ENSG00000133106",432.835924580099,-1.25701978987945,0.338063452089371,-3.71829543273771,0.000200571620543435,0.146097245472926,"EPSTI1","94240"
"ENSG00000125730",24506.7127799502,-1.11390871972772,0.299712046126857,-3.71659642687916,0.000201924596581217,0.146097245472926,"C3","718"
"ENSG00000140368",249.389042957561,-1.14649854790227,0.308929552716774,-3.71119738406308,0.000206281170864272,0.146097245472926,"PSTPIP1","9051"
"ENSG00000270108",50.3720013796368,-0.93390726299135,0.253259878824062,-3.68754524928179,0.00022642783844567,0.156145829117599,NA,NA
